,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
164,0.48800001,SDN,SubSaharian,,,,,,8.4287748336792
186,0.91799998,USA,WesternDem,47769.699,318.7890014648438,6.0,8.8199997,18.1,17.14075469970703
44,0.773,CUB,LatAm,5899.9399,,,4.3699999,36.099998,11.05880069732666
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224
118,0.63700002,NAM,SubSaharian,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,,,26.5,4.487498760223389
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,47.79999923706055,0.5,,1.475303411483765
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
100,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880127
73,0.62300003,HND,LatAm,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
174,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,18.39999961853027,6.9400001,,5.933197021484375
53,0.58200002,GNQ,SubSaharian,15412.43,,,10.72,,3.804079055786133
96,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,7.599999904632568,10.37,35.900002,5.880693435668945
135,0.73699999,PER,LatAm,9227.1504,30.80900001525879,14.10000038146973,5.3800001,,5.473034858703613
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
183,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385
139,0.421,GNB,SubSaharian,961.26001,,,3.5699999,,5.593137264251709
77,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.090000004,38.5,2.84686017036438
76,0.61500001,IND,SouthAsia,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809
121,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,3.400000095367432,8.6800003,25.700001,10.89729309082031
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662
156,0.84200001,SVK,EastEurope,21776.34,5.415999889373779,6.300000190734863,10.6,28.799999,8.054047584533691
192,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977
190,0.76899999,VEN,LatAm,10513.96,,13.10000038146973,6.4699998,,5.256702423095703
99,0.91100001,LIE,WesternDem,102243.52,,,,,
71,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,29.0,7.6399999,,5.247803688049316
2,0.74299997,DZA,NorthAfrica,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.207178115844727
12,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.818998575210571
41,0.42500001,COD,SubSaharian,324.16,,74.5,1.8200001,,4.32823371887207
7,0.82599998,ARG,LatAm,15102.61,41.73300170898438,12.69999980926514,7.9299998,25.299999,4.785916328430176
38,0.72399998,COL,LatAm,8761.1396,47.6619987487793,15.10000038146973,4.3800001,11.6,7.201298713684082
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632568
158,0.88800001,SVN,EastEurope,24456.561,2.061000108718872,2.5,10.46,20.9,9.23388671875
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358
111,,MCO,WesternDem,108481.13,,,,,4.337683200836182
79,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,,0.17,,5.538873195648193
116,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,63.09999847412109,1.16,18.799999,6.975581645965576
32,0.347,CAF,SubSaharian,690.03998,,,1.66,,4.200222015380859
18,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.699999809265137,4.0300002,39.200001,9.572015762329102
175,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265137,1.91,,3.643985748291016
189,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461
94,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,8.0,1.3200001,37.0,6.3937087059021
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
51,0.73900002,ECU,LatAm,7259.52,15.77499961853027,19.10000038146973,3.8199999,9.0,9.161087989807127
127,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152
159,,SOM,SubSaharian,1436.74,,,0.0,,
69,0.63700002,GTM,LatAm,4438.0,,26.5,1.88,,6.202301502227783
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,3.400000095367432,10.75,23.200001,7.783196449279785
68,0.75099999,GRD,Caribbean,8314.5596,,,8.4200001,,6.09761381149292
67,0.86500001,GRC,WesternDem,25295.27,10.92700004577637,4.099999904632568,7.5300002,43.400002,8.084266662597656
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,3.400000095367432,12.6,23.9,10.59475135803223
95,0.495,LSO,SubSaharian,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432
193,0.57599998,ZMB,SubSaharian,1916.79,,56.40000152587891,2.4100001,15.9,4.986764907836914
126,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,77.80000305175781,8.3000002,8.8999996,3.668798446655273
39,0.498,COM,SubSaharian,972.35999,0.7760000228881836,,0.12,15.3,6.747642993927002
22,0.514,SLB,Pacific,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918
176,0.72299999,TUN,NorthAfrica,6912.2798,,13.80000019073486,1.39,,7.003858089447022
125,0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
52,0.67799997,SLV,LatAm,332.26999,,13.60000038146973,2.52,,6.772402763366699
106,0.43799999,MLI,SubSaharian,1063.26,14.85400009155273,79.5999984741211,0.61000001,18.6,6.862166404724121
104,0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,7.300000190734863,0.51999998,22.299999,4.169077873229981
107,0.85299999,MLT,WesternDem,24094.641,0.425000011920929,5.800000190734863,8.4899998,25.9,9.749919891357422
24,0.792,BGR,EastEurope,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419922
142,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,10.69999980926514,9.5900002,30.5,5.565009117126465
84,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.39999961853027,3.8299999,17.6,5.36152458190918
102,0.51099998,MDG,SubSaharian,822.62,,40.90000152587891,0.87,,3.041355133056641
120,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,33.59999847412109,0.27000001,24.6,5.797225952148438
160,0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,33.29999923706055,7.3800001,18.9,8.796984672546387
134,0.69199997,PRY,LatAm,4812.9199,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756
10,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,,9.4499998,,7.742364883422852
61,0.69400001,GAB,SubSaharian,14525.28,,42.40000152587891,8.8599997,,3.437471628189087
72,0.49000001,HTI,LatAm,1024.9399,,56.5,5.6799998,11.8,7.555654048919678
6,0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367
103,0.47299999,MWI,SubSaharian,938.34998,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
11,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686
3,0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434
90,0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.299999952316284,9.3299999,27.4,7.373112678527832
31,0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902
63,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001,,7.340400695800781
149,0.565,STP,SubSaharian,2150.55,,,5.6900001,,8.353466033935547
26,0.40599999,BDI,SubSaharian,663.57001,,66.9000015258789,4.1599998,,7.535565376281738
81,0.898,ISR,NorthAfrica,25926.25,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236
151,0.491,SEN,SubSaharian,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693
115,0.64499998,MAR,NorthAfrica,3999.5601,33.17900085449219,26.79999923706055,0.43000001,22.0,5.907778263092041
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594
56,0.86299998,EST,EastEurope,19768.039,1.315999984741211,2.900000095367432,,33.200001,6.379294395446777
163,0.421,SSD,SubSaharian,,,,,,2.738420724868774
179,,TUV,Pacific,3174.05,0.0109999999403954,,1.34,,16.5366382598877
148,,SMR,WesternDem,42664.211,0.034000001847744,,,,6.129065036773682
62,0.76800001,GEO,EastEurope,7148.5698,3.730000019073486,17.79999923706055,6.1300001,30.0,7.416659355163574
150,0.84500003,SAU,NorthAfrica,20872.711,30.77000045776367,7.400000095367432,0.090000004,17.1,4.684084892272949
59,0.89399999,FRA,WesternDem,34007.898,64.02799987792969,3.400000095367432,11.5,28.1,11.53951930999756
114,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,5.5,6.5599999,,6.416542530059815
29,0.514,CMR,SubSaharian,2658.51,,61.09999847412109,6.1900001,18.799999,4.103671550750732
138,0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.900000095367432,9.8800001,22.6,9.501075744628906
